name,schulform,stadt,standorttyp,lat,lon,street,plz,data_2014
Liselotte-Rauner-Schule,Hauptschule,Bochum,5,51.481,7.14,Voedestraße 46/48,44866,0
Werner-von-Siemens-Schule,Hauptschule,Bochum,4,51.506,7.267,Haydnstraße 3,44805,0
Gemeinschaftsschule Bochum Mitte (Gahlensche Straße),Gemeinschaftsschule,Bochum,5,51.493,7.188,Gahlensche Str. 204B,44809,0
Goethe-Gymnasium,Gymnasium,Bochum,4,51.486,7.22,Goetheplatz 1,Goethestraße,0
Graf-Engelbert-Schule,Gymnasium,Bochum,3,51.466,7.219,Königsallee 77-79,44789,0
Heinrich-von-Kleist-Schule,Gymnasium,Bochum,4,51.516,7.274,Heinrichstraße 2,44805,0
Hellweg-Schule,Gymnasium,Bochum,4,51.472,7.149,Lohackerstraße 13,44867,0
Hildegardis-Schule,Gymnasium,Bochum,4,51.486,7.227,Klinikstraße 1,44791,0
Lessing-Schule,Gymnasium,Bochum,3,51.471,7.316,Ottilienstraße 12,44892,0
Märkische Schule,Gymnasium,Bochum,4,51.478,7.136,Saarlandstraße 40,44866,0
Neues Gymnasium,Gymnasium,Bochum,3,51.468,7.232,Querenburger Str. 45,44789,0
Schiller-Schule,Gymnasium,Bochum,2,51.464,7.221,Waldring 71,44789,0
Theodor-Körner-Schule,Gymnasium,Bochum,2,51.427,7.151,Keilstraße 42-48,44879,0
Anne-Frank-Schule,Realschule,Bochum,4,51.516,7.274,Heinrichstraße 2,44805,0
Annette-von-Droste-Hülshoff-Realschule,Realschule,Bochum,4,51.478,7.235,Lohring 22,44789,0
Franz-Dinnendahl-Schule,Realschule,Bochum,4,51.497,7.245,Lennepl. 21,44807,0
Hans-Böckler-Realschule,Realschule,Bochum,5,51.468,7.232,Querenburger Str. 35,44789,0
Realschule Höntrop,Realschule,Bochum,4,51.461,7.163,Höntroper Str. 99,44869,0
Hugo-Schultz-Schule,Realschule,Bochum,3,51.427,7.151,Dr.-C.-Otto-Straße 88,44879,0
Pestalozzi-Realschule,Realschule,Bochum,5,51.477,7.15,Graf-Adolf-Straße 40,44866,0
Sekundarschule Bochum-Südwest,Sekundarschule,Bochum,4,51.426,7.15,Dr.-C.-Otto-Straße 88,44879,0
Nelson-Mandela-Schule,Sekundarschule,Bochum,5,51.468,7.318,Stiftstraße 25,44892,0
Erich-Fried-Gesamtschule,Gesamtschule,Herne,4,51.535,7.201,Grabenstraße 14,44625,0
