state,ags,name,plz,lon,lat,search
13,13072080,Pölchow,18059,12.092,54.01,pölchow
13,13072098,Stäbelow,18198,12.021,54.04,stäbelow
13,13072121,Ziesendorf,18059,12.039,53.994,ziesendorf
13,13073011,Binz,18609,13.605,54.402,binz
13,13073035,Grimmen,18507,13.043,54.113,grimmen
13,13073055,Marlow,18337,12.571,54.154,marlow
13,13073070,Putbus,18581,13.476,54.354,putbus
13,13073080,Sassnitz,18546,13.634,54.513,sassnitz
13,13073088,Stralsund,18439,13.09,54.314,stralsund
13,13073089,Süderholz,18516,13.127,54.076,süderholz
13,13073105,Zingst,18374,12.683,54.435,zingst
13,13073005,Altenpleen,18445,12.957,54.354,altenpleen
13,13073037,Groß Mohrdorf,18445,12.948,54.389,groß mohrdorf
13,13073044,Klausdorf,18445,13.015,54.405,klausdorf
13,13073046,Kramerhof,18445,13.054,54.354,kramerhof
13,13073066,Preetz,18445,12.989,54.35,preetz
13,13073068,Prohn,18445,13.024,54.374,prohn
13,13073009,Barth,18356,12.727,54.369,barth
13,13073018,Divitz-Spoldershagen,18314,12.676,54.324,divitz-spoldershagen
13,13073025,Fuhlendorf,18356,12.601,54.36,fuhlendorf
13,13073042,Karnin,18469,12.792,54.305,karnin
13,13073043,Kenz-Küstrow,18356,12.75,54.341,kenz-küstrow
13,13073051,Löbnitz,18314,12.719,54.295,löbnitz
13,13073053,Lüdershagen,18314,12.609,54.304,lüdershagen
13,13073069,Pruchten,18356,12.674,54.377,pruchten
13,13073077,Saal,18317,12.495,54.31,saal
13,13073094,Trinwillershagen,18320,12.627,54.249,trinwillershagen
13,13073010,Bergen auf Rügen,18528,13.431,54.417,bergen auf rügen
13,13073014,Buschvitz,18528,13.473,54.428,buschvitz
13,13073027,Garz/Rügen,18574,13.352,54.317,garz/rügen
13,13073038,Gustow,18574,13.213,54.302,gustow
13,13073049,Lietzow,18528,13.507,54.484,lietzow
13,13073063,Parchtitz,18528,13.398,54.439,parchtitz
13,13073064,Patzig,18528,13.396,54.466,patzig
13,13073065,Poseritz,18574,13.276,54.297,poseritz
13,13073072,Ralswiek,18528,13.447,54.474,ralswiek
13,13073074,Rappin,18528,13.385,54.509,rappin
13,13073083,Sehlen,18528,13.388,54.38,sehlen
13,13073002,Ahrenshoop,18347,12.416,54.377,ahrenshoop
13,13073012,Born a. Darß,18375,12.537,54.391,born a. darß
13,13073017,Dierhagen,18347,12.349,54.284,dierhagen
13,13073067,Prerow,18375,12.577,54.444,prerow
13,13073100,Wieck a. Darß,18375,12.572,54.41,wieck a. darß
13,13073103,Wustrow,18347,12.397,54.345,wustrow
13,13073024,Franzburg,18461,12.878,54.187,franzburg
13,13073029,Glewitz,18513,12.931,54.02,glewitz
13,13073034,Gremersdorf-Buchholz,18461,12.88,54.139,gremersdorf-buchholz
13,13073057,Millienhagen-Oebelitz,18461,12.813,54.197,millienhagen-oebelitz
13,13073062,Papenhagen,18510,12.982,54.146,papenhagen
13,13073076,Richtenberg,18461,12.889,54.201,richtenberg
13,13073086,Splietsdorf,18513,12.931,54.124,splietsdorf
13,13073096,Velgast,18469,12.809,54.273,velgast
13,13073097,Weitenhagen,18461,12.784,54.223,weitenhagen
13,13073098,Wendisch Baggendorf,18513,12.944,54.074,wendisch baggendorf
13,13073023,Elmenhorst,18510,13.064,54.218,elmenhorst
13,13073090,Sundhagen,18519,13.2,54.189,sundhagen
13,13073102,Wittenhagen,18510,13.07,54.184,wittenhagen
13,13073006,Baabe,18586,13.702,54.359,baabe
13,13073026,Gager,18586,13.683,54.308,gager
13,13073031,Göhren,18586,13.738,54.342,göhren
13,13073048,Lancken-Granitz,18586,13.632,54.367,lancken-granitz
13,13073056,Middelhagen,18586,13.705,54.33,middelhagen
13,13073084,Sellin,18586,13.692,54.378,sellin
13,13073091,Thiessow,18586,13.715,54.277,thiessow
13,13073106,Zirkow,18528,13.539,54.388,zirkow
13,13073036,Groß Kordshagen,18442,12.84,54.332,groß kordshagen
13,13073041,Jakobsdorf,18442,12.933,54.233,jakobsdorf
13,13073047,Kummerow,18442,12.882,54.296,kummerow
13,13073054,Lüssow,18442,13.034,54.282,lüssow
13,13073058,Neu Bartelshagen,18442,12.862,54.343,neu bartelshagen
13,13073060,Niepars,18442,12.923,54.313,niepars
13,13073061,Pantelitz,18442,12.969,54.301,pantelitz
13,13073087,Steinhagen,18442,12.99,54.227,steinhagen
13,13073099,Wendorf,18442,13.072,54.25,wendorf
13,13073104,Zarrendorf,18510,13.098,54.237,zarrendorf
13,13073004,Altenkirchen,18556,13.342,54.636,altenkirchen
13,13073013,Breege,18556,13.367,54.616,breege
13,13073019,Dranske,18556,13.231,54.63,dranske
13,13073030,Glowe,18551,13.469,54.57,glowe
13,13073052,Lohme,18551,13.611,54.583,lohme
13,13073071,Putgarten,18556,13.417,54.673,putgarten
13,13073078,Sagard,18551,13.555,54.525,sagard
13,13073101,Wiek,18556,13.29,54.621,wiek
13,13073007,Bad Sülze,18334,12.659,54.11,bad sülze
13,13073015,Dettmannsdorf,18334,12.529,54.112,dettmannsdorf
13,13073016,Deyelsdorf,18513,12.822,54.045,deyelsdorf
13,13073020,Drechow,18465,12.8,54.141,drechow
13,13073022,Eixen,18334,12.724,54.161,eixen
13,13073032,Grammendorf,18513,12.879,54.034,grammendorf
13,13073033,Gransebieth,18513,12.883,54.065,gransebieth
13,13073039,Hugoldsdorf,18465,12.754,54.153,hugoldsdorf
13,13073050,Lindholz,18334,12.687,54.057,lindholz
13,13073093,Tribsees,18465,12.758,54.095,tribsees
13,13073001,Ahrenshagen-Daskow,18320,12.568,54.235,ahrenshagen-daskow
13,13073075,Ribnitz-Damgarten,18311,12.467,54.239,ribnitz-damgarten
13,13073082,Schlemmin,18320,12.683,54.222,schlemmin
13,13073085,Semlow,18334,12.657,54.181,semlow
13,13073003,Altefähr,18573,13.127,54.331,altefähr
13,13073021,Dreschvitz,18573,13.294,54.404,dreschvitz
13,13073028,Gingst,18569,13.259,54.457,gingst
13,13073040,Insel Hiddensee,18565,13.108,54.575,insel hiddensee
13,13073045,Kluis,18569,13.302,54.473,kluis
13,13073059,Neuenkirchen,18569,13.331,54.544,neuenkirchen
13,13073073,Rambin,18573,13.205,54.356,rambin
13,13073079,Samtens,18573,13.293,54.356,samtens
13,13073081,Schaprode,18569,13.166,54.514,schaprode
13,13073092,Trent,18569,13.256,54.522,trent
13,13073095,Ummanz,18569,13.202,54.441,ummanz
13,13074026,Grevesmühlen,23936,11.185,53.864,grevesmühlen
13,13074035,Insel Poel,23999,11.424,53.994,insel poel
13,13074087,Wismar,23952,11.466,53.892,wismar
13,13074002,Bad Kleinen,23996,11.473,53.771,bad kleinen
13,13074003,Barnekow,23968,11.373,53.867,barnekow
13,13074008,Bobitz,23996,11.361,53.804,bobitz
13,13074019,Dorf Mecklenburg,23972,11.467,53.843,dorf mecklenburg
13,13074030,Groß Stieten,23972,11.45,53.812,groß stieten
13,13074031,Hohen Viecheln,23996,11.511,53.785,hohen viecheln
13,13074047,Lübow,23972,11.523,53.853,lübow
13,13074053,Metelsdorf,23972,11.433,53.853,metelsdorf
13,13074082,Ventschow,19417,11.578,53.786,ventschow
13,13074020,Dragun,19205,11.224,53.708,dragun
13,13074021,Gadebusch,19205,11.119,53.702,gadebusch
13,13074040,Kneese,19205,10.983,53.662,kneese
13,13074043,Krembz,19205,11.061,53.651,krembz
13,13074054,Mühlen Eichsen,19205,11.252,53.759,mühlen eichsen
13,13074068,Roggendorf,19205,11.017,53.695,roggendorf
13,13074070,Rögnitz,19205,11.024,53.614,rögnitz
13,13074081,Veelböken,19205,11.183,53.748,veelböken
13,13074005,Bernstorf,23936,11.117,53.828,bernstorf
13,13074022,Gägelow,23968,11.381,53.899,gägelow
13,13074063,Plüschow,23936,11.268,53.836,plüschow
13,13074069,Roggenstorf,23936,11.067,53.913,roggenstorf
13,13074071,Rüting,23936,11.223,53.793,rüting
13,13074077,Testorf-Steinfort,23936,11.269,53.777,testorf-steinfort
13,13074079,Upahl,23936,11.214,53.822,upahl
13,13074085,Warnow,23936,11.211,53.887,warnow
13,13074093,Stepenitztal,23936,11.079,53.872,stepenitztal
13,13074010,Boltenhagen,23946,11.201,53.989,boltenhagen
13,13074016,Damshagen,23948,11.153,53.928,damshagen
13,13074032,Hohenkirchen,23948,11.306,53.916,hohenkirchen
13,13074037,Kalkhorst,23942,11.046,53.971,kalkhorst
13,13074039,Klütz,23948,11.167,53.966,klütz
13,13074089,Zierow,23968,11.377,53.925,zierow
13,13074001,Alt Meteln,19069,11.34,53.748,alt meteln
13,13074012,Brüsewitz,19071,11.249,53.676,brüsewitz
13,13074014,Cramonshagen,19071,11.276,53.699,cramonshagen
13,13074015,Dalberg-Wendelstorf,19071,11.281,53.733,dalberg-wendelstorf
13,13074024,Gottesgabe,19209,11.246,53.631,gottesgabe
13,13074025,Grambow,19071,11.277,53.621,grambow
13,13074038,Klein Trebbow,19069,11.373,53.713,klein trebbow
13,13074048,Lübstorf,19069,11.414,53.727,lübstorf
