id,name,city,council,date,value,lat,lon,kind,area
36487491,SW Duisburg 2M303a,Düsseldorf,Düsseldorf,2015-03-02,9.6,51.3269,6.7481,GW-Messstelle,Acker
10406426,Overhuesallee P 12,Düren,Köln,2015-05-06,9.5,50.7849,6.4665,GW-Messstelle,"bebaut, besiedelt"
129660553,Silberg,Kirchhundem,Arnsberg,2015-10-13,9.5,51.0243,8.0371,gefasste Quelle,Wald
73727283,WLV QUIRRENBACH QF,Königswinter,Köln,2015-10-08,9.5,50.6834,7.3239,gefasste Quelle,Grünland
76965612,K ALTABL. A 1652,Köln,Köln,2015-04-08,9.4,50.9214,6.9945,GW-Messstelle,keine Angabe
10406359,Overhuesallee P 5,Düren,Köln,2016-04-04,9.4,50.7909,6.4781,GW-Messstelle,"bebaut, besiedelt"
129700733,Gambach,Burbach,Arnsberg,2015-04-14,9.4,50.7305,8.0795,Sammelschacht,Wald
129700289,Gosenbachquelle,Siegen,Arnsberg,2015-04-15,9.4,50.8641,7.9662,gefasste Quelle,Wald
21001777,768F            LGD,Steinhagen,Detmold,2015-07-15,9.3,51.9859,8.3874,GW-Messstelle,Wald
59130465,DO-Eving RWI 5,Dortmund,Arnsberg,2015-10-26,9.2,51.5584,7.4641,GW-Messstelle,Wald
40507014,Kölner Str.,Mülheim a.d. Ruhr,Düsseldorf,2015-11-13,9.2,51.4042,6.8822,GW-Messstelle,"bebaut, besiedelt"
129660103,Liemscheid,Kirchhundem,Arnsberg,2015-05-11,9.2,51.0467,8.159,gefasste Quelle,Wald
94160661,Quellen Westernah,Schmallenberg,Arnsberg,2015-05-06,9.1,51.201,8.3534,gefasste Quelle,Wald
118054831,W.BROCHTERBECK-HO03,Lengerich,Münster,2015-04-21,9.1,52.1936,7.7565,Horizontalfilterbrunnen,Wald
110040107,IV/10 EMSDETTEN,Emsdetten,Münster,2015-12-02,9.1,52.1472,7.5698,GW-Messstelle,Acker
70202515,LGD KALDAUEN MUEHLE,Siegburg,Köln,2015-04-21,9.1,50.7988,7.2403,GW-Messstelle,Wald
76809407,CONTEX EB,Meinerzhagen,Arnsberg,2015-04-22,9.0,51.0839,7.6924,Vertikalfilterbrunnen (Bohrbrunnen),Acker
76988594,Kloster Heisterb.QF,Königswinter,Köln,2015-03-25,9.0,50.6949,7.2153,gefasste Quelle,Wald
100790318,HEID1 BR HEIDENTAL,Detmold,Detmold,2015-11-10,9.0,51.9162,8.8281,Vertikalfilterbrunnen (Bohrbrunnen),Wald
106506079,KWEST BR WESTORF,Kalletal,Detmold,2015-04-09,9.0,52.1111,8.9213,Vertikalfilterbrunnen (Bohrbrunnen),Wald
94170319,Quelle Butterkopf,Brilon,Arnsberg,2015-10-07,9.0,51.3799,8.5666,Sammelschacht,Wald
99580184,Ludwigsquellen,Schmallenberg,Arnsberg,2015-05-06,8.9,51.2079,8.368,gefasste Quelle,Wald
100140350,WG 16    WESTERHOF,Hille,Detmold,2015-03-17,8.9,52.3375,8.7915,GW-Messstelle,Acker
80301903,VORST           338,Tönisvorst,Düsseldorf,2015-09-24,8.9,51.2962,6.4266,GW-Messstelle,"bebaut, besiedelt"
